,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,2800,3942,-1.0,
1,2,1,1,0,0,0,231,648,2105,2536,-1.0,
2,3,1,1,1,0,0,231,648,2105,2536,-1.0,
3,4,1,1,1,1,0,1268,648,644,56,-1.0,
4,5,1,1,1,1,1,1268,650,54,51,92.94104,D.
5,5,1,1,1,1,2,1350,653,180,51,95.314575,Brawn
6,5,1,1,1,1,3,1554,648,358,56,95.961212,Manufacture
7,4,1,1,1,2,0,370,816,690,48,-1.0,
8,5,1,1,1,2,1,370,818,172,46,96.780296,Invoice
9,5,1,1,1,2,2,562,832,70,32,92.984619,no.
10,5,1,1,1,2,3,656,816,404,48,92.200783,DVT-AX-345678
11,4,1,1,1,3,0,368,978,542,46,-1.0,
12,5,1,1,1,3,1,368,978,182,46,95.270126,Payment
13,5,1,1,1,3,2,563,978,99,38,95.270126,date:
14,5,1,1,1,3,3,680,978,230,38,96.142487,03/12/2006
15,4,1,1,1,4,0,236,1140,2100,72,-1.0,
16,5,1,1,1,4,1,236,1141,209,70,95.588364,Reference
17,5,1,1,1,4,2,658,1140,242,72,96.640327,Designation
18,5,1,1,1,4,3,1518,1160,70,46,95.229645,Qty
19,5,1,1,1,4,4,1636,1160,80,38,73.184479,Unit
20,5,1,1,1,4,5,1732,1161,98,45,73.184479,price
21,5,1,1,1,4,6,1914,1158,212,42,60.467209,TotalCHF
22,5,1,1,1,4,7,2222,1158,114,40,75.694,Sales
23,4,1,1,1,5,0,234,1234,870,70,-1.0,
24,5,1,1,1,5,1,234,1246,108,58,96.228172,Work
25,5,1,1,1,5,2,1102,1234,2,2,45.404758,|
26,4,1,1,1,6,0,232,1358,2104,51,-1.0,
27,5,1,1,1,6,1,232,1364,202,38,91.880539,SERVICE
28,5,1,1,1,6,2,452,1364,30,38,90.487587,D
29,5,1,1,1,6,3,656,1360,256,42,95.799896,COMPLETE
30,5,1,1,1,6,4,928,1362,253,40,95.87381,OVERHAUL
31,5,1,1,1,6,5,1520,1364,16,36,89.079681,4
32,5,1,1,1,6,6,1634,1358,166,51,13.202316,5500.00
33,5,1,1,1,6,7,1960,1362,166,40,96.431786,5500.00
34,5,1,1,1,6,8,2260,1364,76,38,96.304726,220
35,4,1,1,1,7,0,236,1416,2100,40,-1.0,
36,5,1,1,1,7,1,236,1418,200,38,91.68071,SERVICE
37,5,1,1,1,7,2,452,1418,30,38,87.511238,D
38,5,1,1,1,7,3,664,1418,300,38,96.444336,REFRESHING
39,5,1,1,1,7,4,980,1416,253,40,96.551651,COMPLETE
40,5,1,1,1,7,5,1248,1416,126,40,96.441902,CASE
41,5,1,1,1,7,6,1520,1420,16,34,79.956314,1
42,5,1,1,1,7,7,1636,1416,139,40,96.607552,380.00
43,5,1,1,1,7,8,1986,1418,140,38,96.677414,380.00
44,5,1,1,1,7,9,2258,1419,78,37,96.624832,220
45,4,1,1,1,8,0,659,1472,467,38,-1.0,
46,5,1,1,1,8,1,659,1472,97,36,96.127136,AND
47,5,1,1,1,8,2,772,1472,218,38,96.179893,RHODIUM
48,5,1,1,1,8,3,1008,1472,118,38,96.139824,BATH
49,4,1,1,1,9,0,236,1526,280,46,-1.0,
50,5,1,1,1,9,1,236,1526,156,40,96.70755,Exterior
51,5,1,1,1,9,2,406,1529,110,43,96.977554,parts:
52,4,1,1,1,10,0,234,1628,2100,53,-1.0,
53,5,1,1,1,10,1,234,1632,310,49,69.099083,JO.297.065.FP
54,5,1,1,1,10,2,660,1634,114,38,95.668602,FLAT
55,5,1,1,1,10,3,787,1634,187,38,95.668602,GASKET
56,5,1,1,1,10,4,1521,1632,17,49,29.84964,fl
57,5,1,1,1,10,5,1634,1628,94,53,96.788422,3.00
58,5,1,1,1,10,6,2038,1635,86,37,95.282318,3.00
59,5,1,1,1,10,7,2260,1632,74,42,96.07473,220
60,4,1,1,1,11,0,232,1688,2102,52,-1.0,
61,5,1,1,1,11,1,232,1688,312,52,73.05777,JO.197.075.FP
62,5,1,1,1,11,2,593,1667,33,77,19.163048,=
63,5,1,1,1,11,3,660,1688,112,38,58.137341,FLAT
64,5,1,1,1,11,4,786,1688,196,50,89.766342,GASKET
65,5,1,1,1,11,5,1520,1690,16,36,71.093407,1
66,5,1,1,1,11,6,1633,1688,91,38,71.093407,4.00
67,5,1,1,1,11,7,2036,1690,88,38,94.370033,4.00
68,5,1,1,1,11,8,2258,1690,76,36,96.610001,220
69,4,1,1,1,12,0,232,1740,2102,54,-1.0,
70,5,1,1,1,12,1,232,1742,318,38,78.963898,JO.199.059.0S
71,5,1,1,1,12,2,601,1722,26,76,3.016014,|
72,5,1,1,1,12,3,660,1742,112,38,20.085968,FLAT
73,5,1,1,1,12,4,786,1742,168,52,20.085968,ROUND
74,5,1,1,1,12,5,968,1740,208,54,86.529526,GASKET
75,5,1,1,1,12,6,1520,1744,16,34,83.089203,1
76,5,1,1,1,12,7,1632,1742,90,52,86.523056,6.00
77,5,1,1,1,12,8,2034,1742,90,38,74.600121,6.00
78,5,1,1,1,12,9,2259,1744,75,50,76.712379,220
79,4,1,1,1,13,0,232,1792,2102,44,-1.0,
80,5,1,1,1,13,1,232,1796,300,38,22.852325,V1.261.036.BC
81,5,1,1,1,13,2,658,1792,318,42,91.090759,W.G.FIXATION
82,5,1,1,1,13,3,994,1792,206,44,95.65831,SCREWS.
83,5,1,1,1,13,4,1520,1796,47,36,83.774055,10
84,5,1,1,1,13,5,1634,1796,88,38,91.791489,4.00
85,5,1,1,1,13,6,2010,1794,115,40,93.439362,40.00
86,5,1,1,1,13,7,2258,1796,76,38,96.519066,220
87,4,1,1,1,14,0,231,1848,2103,52,-1.0,
88,5,1,1,1,14,1,231,1848,299,40,42.149067,"Al.465.055,BC"
89,5,1,1,1,14,2,658,1848,148,52,96.039658,WHITE
90,5,1,1,1,14,3,822,1848,129,38,93.909164,GOLD
91,5,1,1,1,14,4,966,1848,136,40,95.167885,"""FOIL"""
92,5,1,1,1,14,5,1521,1850,15,36,86.81797,1
93,5,1,1,1,14,6,1635,1848,115,40,93.763023,70.00
94,5,1,1,1,14,7,2012,1848,112,40,94.787796,76.00
95,5,1,1,1,14,8,2258,1850,76,38,94.786789,220
96,4,1,1,1,15,0,658,1902,428,52,-1.0,
97,5,1,1,1,15,1,658,1902,328,52,21.982613,PAIROFHAND
98,4,1,1,1,16,0,658,1954,470,40,-1.0,
99,5,1,1,1,16,1,658,1954,198,40,93.145393,LENGTH:
100,5,1,1,1,16,2,876,1954,252,40,71.875496,10/13.50MM
101,4,1,1,1,17,0,658,2008,316,40,-1.0,
102,5,1,1,1,17,1,658,2010,196,38,95.785408,CALIBRE
103,5,1,1,1,17,2,866,2008,108,40,96.798347,2868
104,4,1,1,1,18,0,658,2112,1466,56,-1.0,
105,5,1,1,1,18,1,658,2128,194,40,79.298843,SPECIAL
106,5,1,1,1,18,2,868,2128,240,40,96.178635,DISCOUNT
107,5,1,1,1,18,3,1634,2130,182,38,46.063423,“3003.00
108,5,1,1,1,18,4,1942,2112,182,56,54.472637,-3003.00
109,4,1,1,1,19,0,658,2228,1466,44,-1.0,
110,5,1,1,1,19,1,658,2232,197,40,22.974007,Discount
111,5,1,1,1,19,2,1600,2230,2,2,0.0,~
112,5,1,1,1,19,3,1662,2228,158,44,0.0, -900.00
113,5,1,1,1,19,4,1968,2232,156,38,91.40593,-900.00
114,4,1,1,1,20,0,656,2362,1468,38,-1.0,
115,5,1,1,1,20,1,656,2363,110,37,93.399567,Total
116,5,1,1,1,20,2,782,2362,94,38,96.568474,CHF
117,5,1,1,1,20,3,1957,2362,167,38,88.691452,2100.00
118,4,1,1,1,21,0,366,2504,434,32,-1.0,
119,5,1,1,1,21,1,366,2504,152,32,96.292679,RETURN
120,5,1,1,1,21,2,528,2504,124,32,96.036873,AFTER
121,5,1,1,1,21,3,664,2504,136,32,96.757317,REPAIR
122,4,1,1,1,22,0,365,2576,449,40,-1.0,
